	+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Column Name (Total=109) |     Type    |    Mean   | Standard Deviation |  Min   |    25%    |    50%    |    75%    |    Max     |                                                                                                                           Value Counts                                                                                                                          |
|     APPT_REG_MEDCARE    | Categorical |           |                    |        |           |           |           |            |                                                                                         {-9: '598 (3.99%)', -1: '2194 (14.63%)', 1: '7174 (47.83%)', 2: '5034 (33.56%)'}                                                                                        |
|        ARTHR_DIAG       | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '8 (0.05%)', -7: '1 (0.01%)', 1: '3671 (24.47%)', 2: '11320 (75.47%)'}                                                                                           |
|        ARTHR_TYPE       | Categorical |           |                    |        |           |           |           |            |                                                                                 {-7: '1 (0.01%)', -1: '11329 (75.53%)', 1: '631 (4.21%)', 2: '1209 (8.06%)', 3: '1830 (12.20%)'}                                                                                |
|        ASPRN_REG        | Categorical |           |                    |        |           |           |           |            |                                                                                          {-8: '147 (0.98%)', -7: '13 (0.09%)', 1: '2509 (16.73%)', 2: '12331 (82.21%)'}                                                                                         |
|        ASTHM_DIAG       | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '2 (0.01%)', -7: '1 (0.01%)', 1: '1428 (9.52%)', 2: '13569 (90.46%)'}                                                                                           |
|          BLIND          | Categorical |           |                    |        |           |           |           |            |                                                                                                    {-1: '14497 (96.65%)', 1: '33 (0.22%)', 2: '470 (3.13%)'}                                                                                                    |
|       CANCER_DIAG       | Categorical |           |                    |        |           |           |           |            |                                                                                   {-9: '2 (0.01%)', -8: '2 (0.01%)', -7: '1 (0.01%)', 1: '1309 (8.73%)', 2: '13686 (91.24%)'}                                                                                   |
|       CHRON_BRONCH      | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '23 (0.15%)', -7: '9 (0.06%)', 1: '285 (1.90%)', 2: '14683 (97.89%)'}                                                                                           |
|        COGNTV_LIM       | Categorical |           |                    |        |           |           |           |            |                                                                                                    {-8: '40 (0.27%)', 1: '891 (5.94%)', 2: '14069 (93.79%)'}                                                                                                    |
|       COR_HRT_DIAG      | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '7 (0.05%)', -7: '1 (0.01%)', 1: '722 (4.81%)', 2: '14270 (95.13%)'}                                                                                            |
|           DEAF          | Categorical |           |                    |        |           |           |           |            |                                                                                                    {-1: '14293 (95.29%)', 1: '50 (0.33%)', 2: '657 (4.38%)'}                                                                                                    |
|     DELAY_PRESCR_MED    | Categorical |           |                    |        |           |           |           |            |                                                                         {-9: '1 (0.01%)', -8: '20 (0.13%)', -7: '21 (0.14%)', -1: '126 (0.84%)', 1: '455 (3.03%)', 2: '14377 (95.85%)'}                                                                         |
|        DIAB_DIAG        | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '3 (0.02%)', -7: '1 (0.01%)', 1: '1613 (10.75%)', 2: '13383 (89.22%)'}                                                                                           |
|        DIAB_INSLN       | Categorical |           |                    |        |           |           |           |            |                                                                                           {-9: '14 (0.09%)', -1: '13710 (91.40%)', 1: '375 (2.50%)', 2: '901 (6.01%)'}                                                                                          |
|        DIAB_KIDNY       | Categorical |           |                    |        |           |           |           |            |                                                                                          {-9: '23 (0.15%)', -1: '13710 (91.40%)', 1: '141 (0.94%)', 2: '1126 (7.51%)'}                                                                                          |
|         DIAB_MED        | Categorical |           |                    |        |           |           |           |            |                                                                                          {-9: '12 (0.08%)', -1: '13710 (91.40%)', 1: '1038 (6.92%)', 2: '240 (1.60%)'}                                                                                          |
|       DIFFIC_HEAR       | Categorical |           |                    |        |           |           |           |            |                                                                          {-9: '1 (0.01%)', -8: '2 (0.01%)', -7: '2 (0.01%)', -1: '124 (0.83%)', 1: '707 (4.71%)', 2: '14164 (94.43%)'}                                                                          |
|        DIFFIC_SEE       | Categorical |           |                    |        |           |           |           |            |                                                                          {-9: '1 (0.01%)', -8: '1 (0.01%)', -7: '2 (0.01%)', -1: '124 (0.83%)', 1: '503 (3.35%)', 2: '14369 (95.79%)'}                                                                          |
|      DIFF_ERRND_ALN     | Categorical |           |                    |        |           |           |           |            |                                                                          {-9: '2 (0.01%)', -8: '2 (0.01%)', -7: '4 (0.03%)', -1: '124 (0.83%)', 1: '851 (5.67%)', 2: '14017 (93.45%)'}                                                                          |
|       DISPSN_STAT       | Categorical |           |                    |        |           |           |           |            |                    {11: '14597 (97.31%)', 12: '16 (0.11%)', 13: '117 (0.78%)', 14: '4 (0.03%)', 22: '3 (0.02%)', 32: '2 (0.01%)', 33: '3 (0.02%)', 34: '14 (0.09%)', 35: '2 (0.01%)', 41: '100 (0.67%)', 42: '122 (0.81%)', 44: '20 (0.13%)'}                   |
|        DOC_CK_BP        | Categorical |           |                    |        |           |           |           |            |                                                                                        {-9: '340 (2.27%)', -1: '2194 (14.63%)', 1: '10376 (69.17%)', 2: '2090 (13.93%)'}                                                                                        |
|       DOC_TIM_ALN       | Categorical |           |                    |        |           |           |           |            |                                                                                    {-9: '1 (0.01%)', -8: '4 (0.03%)', -1: '14858 (99.05%)', 1: '50 (0.33%)', 2: '87 (0.58%)'}                                                                                   |
|         EDU_DEG         | Categorical |           |                    |        |           |           |           |            |                          {-9: '22 (0.15%)', -8: '82 (0.55%)', -7: '3 (0.02%)', -1: '6834 (45.56%)', 1: '1598 (10.65%)', 2: '361 (2.41%)', 3: '3540 (23.60%)', 4: '1233 (8.22%)', 5: '559 (3.73%)', 6: '122 (0.81%)', 7: '646 (4.31%)'}                          |
|       EMPHYM_DIAG       | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '3 (0.02%)', -7: '1 (0.01%)', 1: '272 (1.81%)', 2: '14724 (98.16%)'}                                                                                            |
|         EMPLYMT         | Categorical |           |                    |        |           |           |           |            |                                                                  {-9: '8 (0.05%)', -8: '7 (0.05%)', -7: '8 (0.05%)', 1: '9239 (61.59%)', 2: '35 (0.23%)', 3: '579 (3.86%)', 4: '5124 (34.16%)'}                                                                 |
|        EMPLYR_INS       | Categorical |           |                    |        |           |           |           |            |                                                                      {-9: '1188 (7.92%)', -8: '482 (3.21%)', -7: '3 (0.02%)', -1: '6243 (41.62%)', 1: '5341 (35.61%)', 2: '1743 (11.62%)'}                                                                      |
|        FEEL_DEPRS       | Categorical |           |                    |        |           |           |           |            |                                                             {-9: '127 (0.85%)', -1: '2194 (14.63%)', 1: '197 (1.31%)', 2: '495 (3.30%)', 3: '1982 (13.21%)', 4: '3266 (21.77%)', 5: '6739 (44.93%)'}                                                            |
|      FREQ_DNTL_CKP      | Categorical |           |                    |        |           |           |           |            |                                                                      {-8: '183 (1.22%)', -7: '15 (0.10%)', 1: '5129 (34.19%)', 2: '3841 (25.61%)', 3: '2894 (19.29%)', 4: '2938 (19.59%)'}                                                                      |
|       HEALTH_STAT       | Categorical |           |                    |        |           |           |           |            |                                                              {-8: '11 (0.07%)', -7: '2 (0.01%)', 1: '3627 (24.18%)', 2: '4651 (31.01%)', 3: '4453 (29.69%)', 4: '1790 (11.93%)', 5: '466 (3.11%)'}                                                              |
|         HEAR_AID        | Categorical |           |                    |        |           |           |           |            |                                                                                   {-9: '1 (0.01%)', -7: '1 (0.01%)', -1: '124 (0.83%)', 1: '377 (2.51%)', 2: '14497 (96.65%)'}                                                                                  |
|      HIGHCHOL_DIAG      | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '14 (0.09%)', -7: '1 (0.01%)', 1: '4383 (29.22%)', 2: '10602 (70.68%)'}                                                                                          |
|       HIGH_BP_DIAG      | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '12 (0.08%)', -7: '1 (0.01%)', 1: '4950 (33.00%)', 2: '10037 (66.91%)'}                                                                                          |
|      HON_DISCHARGE      | Categorical |           |                    |        |           |           |           |            |                                                                          {-9: '46 (0.31%)', -8: '15 (0.10%)', -7: '4 (0.03%)', 1: '951 (6.34%)', 2: '13963 (93.09%)', 4: '21 (0.14%)'}                                                                          |
|       HOUSEWRK_LIM      | Categorical |           |                    |        |           |           |           |            |                                                                                  {-8: '45 (0.30%)', -7: '4 (0.03%)', -1: '13334 (88.89%)', 1: '1016 (6.77%)', 2: '601 (4.01%)'}                                                                                 |
|       HRT_ATT_DIAG      | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '2 (0.01%)', -7: '1 (0.01%)', 1: '528 (3.52%)', 2: '14469 (96.46%)'}                                                                                            |
|        INSUR_COV        | Categorical |           |                    |        |           |           |           |            |                                                                                                   {1: '8873 (59.15%)', 2: '4017 (26.78%)', 3: '2110 (14.07%)'}                                                                                                  |
|         JNT_PAIN        | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '45 (0.30%)', -7: '9 (0.06%)', 1: '4919 (32.79%)', 2: '10027 (66.85%)'}                                                                                          |
|       LAST_FLU_VAC      | Categorical |           |                    |        |           |           |           |            |                                                     {-8: '508 (3.39%)', -7: '13 (0.09%)', 1: '6067 (40.45%)', 2: '1418 (9.45%)', 3: '595 (3.97%)', 4: '416 (2.77%)', 5: '1051 (7.01%)', 6: '4932 (32.88%)'}                                                     |
|       LAST_REG_CKP      | Categorical |           |                    |        |           |           |           |            |                                                      {-8: '457 (3.05%)', -7: '13 (0.09%)', 1: '9925 (66.17%)', 2: '2030 (13.53%)', 3: '789 (5.26%)', 4: '495 (3.30%)', 5: '796 (5.31%)', 6: '495 (3.30%)'}                                                      |
|      LOST_ALL_TEETH     | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '51 (0.34%)', -7: '11 (0.07%)', 1: '1036 (6.91%)', 2: '13902 (92.68%)'}                                                                                          |
|       MARITAL_STAT      | Categorical |           |                    |        |           |           |           |            |                                              {1: '6985 (46.57%)', 2: '840 (5.60%)', 3: '1634 (10.89%)', 4: '442 (2.95%)', 5: '4900 (32.67%)', 7: '104 (0.69%)', 8: '19 (0.13%)', 9: '42 (0.28%)', 10: '34 (0.23%)'}                                             |
|       MENTAL_HLTH       | Categorical |           |                    |        |           |           |           |            |                                                               {-8: '9 (0.06%)', -7: '3 (0.02%)', 1: '5345 (35.63%)', 2: '4239 (28.26%)', 3: '4064 (27.09%)', 4: '1091 (7.27%)', 5: '249 (1.66%)'}                                                               |
|      MIL_ACTIV_DUTY     | Categorical |           |                    |        |           |           |           |            |                                                                                           {-9: '2 (0.01%)', 1: '21 (0.14%)', 2: '11359 (75.73%)', 4: '3618 (24.12%)'}                                                                                           |
|       MULT_HIGHBP       | Categorical |           |                    |        |           |           |           |            |                                                                                 {-9: '5 (0.03%)', -8: '65 (0.43%)', -1: '10050 (67.00%)', 1: '3931 (26.21%)', 2: '949 (6.33%)'}                                                                                 |
|       NON_ENG_LANG      | Categorical |           |                    |        |           |           |           |            |                                                                                                  {-1: '9543 (63.62%)', 1: '3946 (26.31%)', 2: '1511 (10.07%)'}                                                                                                  |
|       NO_WORK_WHY       | Categorical |           |                    |        |           |           |           |            |    {-9: '9 (0.06%)', -8: '4 (0.03%)', -7: '2 (0.01%)', -1: '11715 (78.10%)', 1: '160 (1.07%)', 2: '1570 (10.47%)', 3: '887 (5.91%)', 4: '17 (0.11%)', 5: '8 (0.05%)', 6: '134 (0.89%)', 7: '405 (2.70%)', 8: '18 (0.12%)', 9: '7 (0.05%)', 91: '64 (0.43%)'}    |
|   NUM_DEP_OUT_REP_UNT   | Categorical |           |                    |        |           |           |           |            |                                           {-8: '4 (0.03%)', -7: '1 (0.01%)', -1: '14587 (97.25%)', 0: '3 (0.02%)', 1: '265 (1.77%)', 2: '94 (0.63%)', 3: '30 (0.20%)', 4: '9 (0.06%)', 5: '6 (0.04%)', 7: '1 (0.01%)'}                                          |
|          OCCUP          | Categorical |           |                    |        |           |           |           |            |                         {-1: '5715 (38.10%)', 1: '1293 (8.62%)', 2: '1758 (11.72%)', 3: '1969 (13.13%)', 4: '852 (5.68%)', 5: '1102 (7.35%)', 6: '88 (0.59%)', 7: '748 (4.99%)', 8: '1330 (8.87%)', 9: '28 (0.19%)', 11: '117 (0.78%)'}                         |
|       OTH_HRT_DIAG      | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '6 (0.04%)', -7: '1 (0.01%)', 1: '1443 (9.62%)', 2: '13550 (90.33%)'}                                                                                           |
|       OVR_FEEL_14       | Categorical |           |                    |        |           |           |           |            |                                            {-9: '271 (1.81%)', -1: '2194 (14.63%)', 0: '8986 (59.91%)', 1: '1156 (7.71%)', 2: '1361 (9.07%)', 3: '359 (2.39%)', 4: '355 (2.37%)', 5: '117 (0.78%)', 6: '201 (1.34%)'}                                           |
|          PANEL          | Categorical |           |                    |        |           |           |           |            |                                                                                                            {19: '7008 (46.72%)', 20: '7992 (53.28%)'}                                                                                                           |
|        PENSN_PLAN       | Categorical |           |                    |        |           |           |           |            |                                                               {-9: '24 (0.16%)', -8: '73 (0.49%)', -7: '2 (0.01%)', -2: '8023 (53.49%)', -1: '5788 (38.59%)', 1: '276 (1.84%)', 2: '814 (5.43%)'}                                                               |
|        POVRTY_CAT       | Categorical |           |                    |        |           |           |           |            |                                                                                {1: '2643 (17.62%)', 2: '887 (5.91%)', 3: '2350 (15.67%)', 4: '4511 (30.07%)', 5: '4609 (30.73%)'}                                                                               |
|          PREGNT         | Categorical |           |                    |        |           |           |           |            |                                                                                          {-9: '1 (0.01%)', -1: '11157 (74.38%)', 1: '239 (1.59%)', 2: '3603 (24.02%)'}                                                                                          |
|      PROB_BILL_PAY      | Categorical |           |                    |        |           |           |           |            |                                                                        {-9: '1 (0.01%)', -8: '21 (0.14%)', -7: '10 (0.07%)', -1: '125 (0.83%)', 1: '1772 (11.81%)', 2: '13071 (87.14%)'}                                                                        |
|        PROB_WBHV        | Categorical |           |                    |        |           |           |           |            |                                                           {-9: '1 (0.01%)', -1: '14858 (99.05%)', 0: '106 (0.71%)', 1: '17 (0.11%)', 2: '10 (0.07%)', 3: '3 (0.02%)', 4: '4 (0.03%)', 99: '1 (0.01%)'}                                                          |
|        PROB_WKIDS       | Categorical |           |                    |        |           |           |           |            |                                                           {-9: '1 (0.01%)', -1: '14858 (99.05%)', 0: '117 (0.78%)', 1: '11 (0.07%)', 2: '6 (0.04%)', 3: '3 (0.02%)', 4: '3 (0.02%)', 99: '1 (0.01%)'}                                                           |
|        RACE_White       | Categorical |           |                    |        |           |           |           |            |                                                                                                           {0.0: '8754 (58.36%)', 1.0: '6246 (41.64%)'}                                                                                                          |
|          REGION         | Categorical |           |                    |        |           |           |           |            |                                                                                         {1: '2305 (15.37%)', 2: '2819 (18.79%)', 3: '5676 (37.84%)', 4: '4200 (28.00%)'}                                                                                        |
|     RSN_NO_DNTL_CKP     | Categorical |           |                    |        |           |           |           |            |                         {-8: '1 (0.01%)', -1: '14282 (95.21%)', 1: '522 (3.48%)', 2: '74 (0.49%)', 3: '12 (0.08%)', 4: '10 (0.07%)', 5: '1 (0.01%)', 6: '7 (0.05%)', 7: '5 (0.03%)', 8: '6 (0.04%)', 10: '27 (0.18%)', 91: '53 (0.35%)'}                        |
|      RSN_NO_MED_CKP     | Categorical |           |                    |        |           |           |           |            |                                 {-1: '14625 (97.50%)', 1: '197 (1.31%)', 2: '58 (0.39%)', 3: '6 (0.04%)', 4: '12 (0.08%)', 5: '2 (0.01%)', 6: '7 (0.05%)', 7: '12 (0.08%)', 8: '12 (0.08%)', 10: '12 (0.08%)', 91: '57 (0.38%)'}                                |
|        SCHOOL_LIM       | Categorical |           |                    |        |           |           |           |            |                                                                                  {-8: '45 (0.30%)', -7: '4 (0.03%)', -1: '13334 (88.89%)', 1: '726 (4.84%)', 2: '891 (5.94%)'}                                                                                  |
|           SEX           | Categorical |           |                    |        |           |           |           |            |                                                                                                             {1: '7010 (46.73%)', 2: '7990 (53.27%)'}                                                                                                            |
|           SMOK          | Categorical |           |                    |        |           |           |           |            |                                                                                        {-9: '260 (1.73%)', -1: '2194 (14.63%)', 1: '1891 (12.61%)', 2: '10655 (71.03%)'}                                                                                        |
|        SOCIAL_LIM       | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '6 (0.04%)', -7: '4 (0.03%)', 1: '887 (5.91%)', 2: '14103 (94.02%)'}                                                                                            |
|       SPOUSE_PRSNT      | Categorical |           |                    |        |           |           |           |            |                                                                                                             {1: '6897 (45.98%)', 2: '8103 (54.02%)'}                                                                                                            |
|       STROKE_DIAG       | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '2 (0.01%)', -7: '1 (0.01%)', 1: '583 (3.89%)', 2: '14414 (96.09%)'}                                                                                            |
|       STUDENT_STAT      | Categorical |           |                    |        |           |           |           |            |                                                                          {-9: '1 (0.01%)', -8: '1 (0.01%)', -1: '13330 (88.87%)', 1: '692 (4.61%)', 2: '156 (1.04%)', 3: '820 (5.47%)'}                                                                         |
|        TAKE_RISK        | Categorical |           |                    |        |           |           |           |            |                                                            {-9: '377 (2.51%)', -1: '2194 (14.63%)', 1: '5116 (34.11%)', 2: '2638 (17.59%)', 3: '2096 (13.97%)', 4: '1936 (12.91%)', 5: '643 (4.29%)'}                                                           |
|       TAX_FORM_TYP      | Categorical |           |                    |        |           |           |           |            |                                                   {-9: '3 (0.02%)', -8: '2598 (17.32%)', -7: '26 (0.17%)', -1: '6272 (41.81%)', 1: '2606 (17.37%)', 2: '1647 (10.98%)', 3: '1759 (11.73%)', 91: '89 (0.59%)'}                                                   |
|      TIME_LAST_PSA      | Categorical |           |                    |        |           |           |           |            |                                    {-9: '18 (0.12%)', -8: '427 (2.85%)', -7: '6 (0.04%)', -1: '10990 (73.27%)', 1: '1385 (9.23%)', 2: '363 (2.42%)', 3: '171 (1.14%)', 4: '114 (0.76%)', 5: '148 (0.99%)', 6: '1378 (9.19%)'}                                   |
|      UNABL_PRES_MED     | Categorical |           |                    |        |           |           |           |            |                                                                         {-9: '1 (0.01%)', -8: '19 (0.13%)', -7: '21 (0.14%)', -1: '126 (0.84%)', 1: '325 (2.17%)', 2: '14508 (96.72%)'}                                                                         |
|        UNION_STAT       | Categorical |           |                    |        |           |           |           |            |                                                                                                   {-1: '5739 (38.26%)', 1: '919 (6.13%)', 2: '8342 (55.61%)'}                                                                                                   |
|       UTILIZATION       | Categorical |           |                    |        |           |           |           |            |                                                                                                            {0: '3212 (21.41%)', 1: '11788 (78.59%)'}                                                                                                            |
|         WALK_LIM        | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '25 (0.17%)', -7: '4 (0.03%)', 1: '2001 (13.34%)', 2: '12970 (86.47%)'}                                                                                          |
|       WEAR_SEATBLT      | Categorical |           |                    |        |           |           |           |            |                                                         {-8: '29 (0.19%)', -7: '1 (0.01%)', 1: '13556 (90.37%)', 2: '712 (4.75%)', 3: '420 (2.80%)', 4: '90 (0.60%)', 5: '139 (0.93%)', 6: '53 (0.35%)'}                                                        |
|   WHEN_ADV_BOOST_SEAT   | Categorical |           |                    |        |           |           |           |            |                                                                                                              {-1: '14999 (99.99%)', 3: '1 (0.01%)'}                                                                                                             |
|    WHEN_ADV_EXERCISE    | Categorical |           |                    |        |           |           |           |            |                                                                                             {-1: '14941 (99.61%)', 1: '41 (0.27%)', 2: '10 (0.07%)', 3: '8 (0.05%)'}                                                                                            |
|     WHEN_ADV_LAP_BLT    | Categorical |           |                    |        |           |           |           |            |                                                                                             {-1: '14945 (99.63%)', 1: '36 (0.24%)', 2: '6 (0.04%)', 3: '13 (0.09%)'}                                                                                            |
|     WHEN_LST_ASTHMA     | Categorical |           |                    |        |           |           |           |            |                                                          {-9: '1 (0.01%)', -8: '9 (0.06%)', -1: '14731 (98.21%)', 1: '127 (0.85%)', 2: '40 (0.27%)', 3: '24 (0.16%)', 4: '44 (0.29%)', 5: '24 (0.16%)'}                                                         |
|           AGE           |  Numerical  |   45.898  |       17.843       | 18.000 |   31.000  |   45.000  |   59.000  |   85.000   |                                                                                                                                                                                                                                                                 |
|          BM_IDX         |  Numerical  |   28.266  |       6.715        | 10.400 |   23.700  |   27.300  |   31.600  |  162.700   |                                                                                                                                                                                                                                                                 |
|        CHILD_SUPP       |  Numerical  |  149.295  |      1323.106      | 0.000  |   0.000   |   0.000   |   0.000   | 39208.000  |                                                                                                                                                                                                                                                                 |
|   DAYS_CAREOTHR_NOWORK  |  Numerical  |   -0.546  |       2.342        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   15.000   |                                                                                                                                                                                                                                                                 |
|     DAYS_ILL_NOSCHL     |  Numerical  |   -1.103  |       1.641        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   14.000   |                                                                                                                                                                                                                                                                 |
|     DAYS_ILL_NOWORK     |  Numerical  |   0.421   |       8.365        | -9.000 |   -1.000  |   0.000   |   1.000   |   60.000   |                                                                                                                                                                                                                                                                 |
|         EDU_YRS         |  Numerical  |   6.351   |       7.294        | -9.000 |   -1.000  |   8.000   |   13.000  |   17.000   |                                                                                                                                                                                                                                                                 |
|        FAM_INCOME       |  Numerical  | 64508.071 |     60018.231      | 0.000  | 22988.000 | 48000.000 | 86912.750 | 521685.000 |                                                                                                                                                                                                                                                                 |
|     FOOD_STMP_MNTHS     |  Numerical  |   0.850   |       4.422        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   12.000   |                                                                                                                                                                                                                                                                 |
|      FOOD_STMP_VAL      |  Numerical  |   42.917  |      136.319       | -8.000 |   -1.000  |   -1.000  |   -1.000  |  4500.000  |                                                                                                                                                                                                                                                                 |
|     MENTAL_HLTH_SCR     |  Numerical  |   43.402  |       21.392       | -9.000 |   38.877  |   51.830  |   57.492  |   75.510   |                                                                                                                                                                                                                                                                 |
|     NUM_PRESCR_MEDS     |  Numerical  |   12.024  |       22.540       | 0.000  |   0.000   |   2.000   |   14.000  |  257.000   |                                                                                                                                                                                                                                                                 |
|       OVR_FEEL_30       |  Numerical  |   2.055   |       4.528        | -9.000 |   0.000   |   1.000   |   3.000   |   24.000   |                                                                                                                                                                                                                                                                 |
|       PHY_HLTH_SCR      |  Numerical  |   41.278  |       20.944       | -9.000 |   33.510  |   51.240  |   56.150  |   72.070   |                                                                                                                                                                                                                                                                 |
|        POVRTY_LEV       |  Numerical  |  345.268  |      316.536       | 0.000  |  132.042  |  255.815  |  457.400  |  3051.380  |                                                                                                                                                                                                                                                                 |
|         PUB_ASST        |  Numerical  |   30.507  |      354.754       | 0.000  |   0.000   |   0.000   |   0.000   |  8549.000  |                                                                                                                                                                                                                                                                 |
|        TOT_INCOME       |  Numerical  | 32012.938 |     35890.552      | 0.000  |  9000.000 | 21755.000 | 42860.000 | 409118.000 |                                                                                                                                                                                                                                                                 |
|          WEIGHT         |  Numerical  |  9670.900 |      8555.467      | 0.000  |  3956.827 |  7304.928 | 12745.005 | 96471.920  |                                                                                                                                                                                                                                                                 |
+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
