	+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+----------------------------------------------+
| Column Name (Total=109) |     Type    |    Mean   | Standard Deviation |  Min   |    25%    |    50%    |    75%    |    Max     |                 Value Counts                 |
|       NO_WORK_WHY       |  Numerical  |   0.260   |       6.235        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   91.000   |                                              |
|   NUM_DEP_OUT_REP_UNT   |  Numerical  |   -0.934  |       0.452        | -8.000 |   -1.000  |   -1.000  |   -1.000  |   7.000    |                                              |
|     NUM_PRESCR_MEDS     |  Numerical  |   12.024  |       22.540       | 0.000  |   0.000   |   2.000   |   14.000  |  257.000   |                                              |
|          OCCUP          |  Numerical  |   2.124   |       3.127        | -1.000 |   -1.000  |   2.000   |   4.000   |   11.000   |                                              |
|       OTH_HRT_DIAG      |  Numerical  |   1.899   |       0.363        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       OVR_FEEL_14       |  Numerical  |   0.236   |       1.807        | -9.000 |   0.000   |   0.000   |   0.000   |   6.000    |                                              |
|       OVR_FEEL_30       |  Numerical  |   2.055   |       4.528        | -9.000 |   0.000   |   1.000   |   3.000   |   24.000   |                                              |
|          PANEL          |  Numerical  |   19.533  |       0.499        | 19.000 |   19.000  |   20.000  |   20.000  |   20.000   |                                              |
|        PENSN_PLAN       |  Numerical  |   -1.383  |       1.138        | -9.000 |   -2.000  |   -2.000  |   -1.000  |   2.000    |                                              |
|       PHY_HLTH_SCR      |  Numerical  |   41.278  |       20.944       | -9.000 |   33.510  |   51.240  |   56.150  |   72.070   |                                              |
|        POVRTY_CAT       |  Numerical  |   3.504   |       1.428        | 1.000  |   3.000   |   4.000   |   5.000   |   5.000    |                                              |
|        POVRTY_LEV       |  Numerical  |  345.268  |      316.536       | 0.000  |  132.042  |  255.815  |  457.400  |  3051.380  |                                              |
|          PREGNT         |  Numerical  |   -0.248  |       1.290        | -9.000 |   -1.000  |   -1.000  |   1.000   |   2.000    |                                              |
|      PROB_BILL_PAY      |  Numerical  |   1.836   |       0.607        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        PROB_WBHV        |  Numerical  |   -0.980  |       0.836        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   99.000   |                                              |
|        PROB_WKIDS       |  Numerical  |   -0.982  |       0.833        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   99.000   |                                              |
|         PUB_ASST        |  Numerical  |   30.507  |      354.754       | 0.000  |   0.000   |   0.000   |   0.000   |  8549.000  |                                              |
|          REGION         |  Numerical  |   2.785   |       1.018        | 1.000  |   2.000   |   3.000   |   4.000   |   4.000    |                                              |
|     RSN_NO_DNTL_CKP     |  Numerical  |   -0.555  |       5.498        | -8.000 |   -1.000  |   -1.000  |   -1.000  |   91.000   |                                              |
|      RSN_NO_MED_CKP     |  Numerical  |   -0.580  |       5.687        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   91.000   |                                              |
|        SCHOOL_LIM       |  Numerical  |   -0.748  |       0.906        | -8.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|           SEX           |  Numerical  |   1.533   |       0.499        | 1.000  |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|           SMOK          |  Numerical  |   1.244   |       1.723        | -9.000 |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|        SOCIAL_LIM       |  Numerical  |   1.934   |       0.341        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       SPOUSE_PRSNT      |  Numerical  |   1.540   |       0.498        | 1.000  |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|       STROKE_DIAG       |  Numerical  |   1.959   |       0.237        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       STUDENT_STAT      |  Numerical  |   -0.659  |       1.022        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   3.000    |                                              |
|        TAKE_RISK        |  Numerical  |   1.470   |       2.337        | -9.000 |   1.000   |   1.000   |   3.000   |   5.000    |                                              |
|       TAX_FORM_TYP      |  Numerical  |   -0.533  |       7.882        | -9.000 |   -1.000  |   -1.000  |   1.000   |   91.000   |                                              |
|      TIME_LAST_PSA      |  Numerical  |   -0.168  |       2.571        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   6.000    |                                              |
|        TOT_INCOME       |  Numerical  | 32012.938 |     35890.552      | 0.000  |  9000.000 | 21755.000 | 42860.000 | 409118.000 |                                              |
|      UNABL_PRES_MED     |  Numerical  |   1.927   |       0.583        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        UNION_STAT       |  Numerical  |   0.791   |       1.429        | -1.000 |   -1.000  |   2.000   |   2.000   |   2.000    |                                              |
|         WALK_LIM        |  Numerical  |   1.848   |       0.546        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       WEAR_SEATBLT      |  Numerical  |   1.158   |       0.765        | -8.000 |   1.000   |   1.000   |   1.000   |   6.000    |                                              |
|          WEIGHT         |  Numerical  |  9670.900 |      8555.467      | 0.000  |  3956.827 |  7304.928 | 12745.005 | 96471.920  |                                              |
|   WHEN_ADV_BOOST_SEAT   |  Numerical  |   -1.000  |       0.033        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   3.000    |                                              |
|    WHEN_ADV_EXERCISE    |  Numerical  |   -0.990  |       0.159        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   3.000    |                                              |
|     WHEN_ADV_LAP_BLT    |  Numerical  |   -0.991  |       0.164        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   3.000    |                                              |
|     WHEN_LST_ASTHMA     |  Numerical  |   -0.949  |       0.495        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   5.000    |                                              |
+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+----------------------------------------------+
